alpha,beta,conditional_entropy,gamma,alpha_sq_minus_beta_sq_term,alpha_beta_term,min_transition_prob,max_transition_prob,mean_transition_prob,std_transition_prob,nonzero_prob_count,spectral_radius,largest_eigenval,second_eigenval,third_eigenval,largest_real_eigenval,max_imag_eigenval,condition_number,determinant,trace,frobenius_norm,max_diagonal,min_diagonal,upper_triangle_sum,lower_triangle_sum,mean_max_eigenval_per_token,std_max_eigenval_per_token,mean_second_eigenval_per_token
0.5,3.0,1.3598372181512997,0.1643989873053573,-0.2364864864864865,0.08108108108108109,-0.2364864864864865,0.25,0.029279279279279275,0.14389759319786743,12,0.25,0.25,0.006756756756756743,0.006756756756756743,0.25,0.0,37.00000000000007,1.1413440467494468e-05,0.2635135135135135,0.2501825483996435,0.25,0.006756756756756743,0.0,0.0,0.3310810810810811,0.0,0.2364864864864865
0.5,5.0,1.3769033834007902,0.09950371902099892,-0.24504950495049505,0.04950495049504951,-0.24504950495049505,0.25,0.02832783278327833,0.1424891984723914,12,0.25,0.25,0.0024752475247524774,0.0024752475247524774,0.25,0.0,100.99999999999991,1.531712577198315e-06,0.25495049504950495,0.25002450620012745,0.25,0.0024752475247524774,0.0,0.0,0.2995049504950495,0.0,0.24504950495049505
0.5,7.0,1.3819343728756694,0.07124704998790965,-0.24746192893401023,0.03553299492385788,-0.24746192893401023,0.25,0.028059785673998867,0.14207839368915795,12,0.25,0.25,0.001269035532994893,0.001269035532994886,0.25,0.0,197.00000000000588,4.0261279600090596e-07,0.2525380710659898,0.25000644172174447,0.25,0.001269035532994886,0.0,0.0,0.28553299492385786,0.0,0.24746192893401023
0.5,9.0,1.3837588665221796,0.05547001962252291,-0.24846153846153846,0.027692307692307693,-0.24846153846153846,0.25,0.02794871794871795,0.14190634093988916,12,0.25,0.25,0.000769230769230772,0.000769230769230772,0.25,0.0,324.9999999999988,1.4792899408284126e-07,0.2515384615384615,0.25000236685270133,0.25,0.000769230769230772,0.0,0.0,0.2776923076923077,0.0,0.24846153846153846
0.5,11.0,1.3848985243435497,0.045407660918649985,-0.2489690721649485,0.022680412371134027,-0.2489690721649485,0.25,0.027892325315005722,0.14181857142216825,12,0.25,0.25,0.0005154639175257436,0.0005154639175257436,0.25,0.0,485.00000000002785,6.64257625677468e-08,0.25103092783505154,0.25000106280994194,0.25,0.0005154639175257436,0.0,0.0,0.27268041237113405,0.0,0.2489690721649485
0.7,3.0,1.3364539422093267,0.16230686829029886,-0.22418335089567965,0.11064278187565856,-0.22418335089567965,0.25,0.030646294344924482,0.1457886853434346,12,0.25,0.25,0.012908324552160177,0.012908324552160177,0.25,0.0,19.367346938775498,4.165621068597531e-05,0.27581664910432035,0.250665613288875,0.25,0.012908324552160177,0.0,0.0,0.36064278187565857,0.0,0.22418335089567965
0.7,5.0,1.367620250658955,0.09903417466743301,-0.2403883876029816,0.06865437426441742,-0.2403883876029816,0.25,0.02884573471077983,0.14326538521475782,12,0.25,0.25,0.004805806198509205,0.004805806198509205,0.25,0.0,52.020408163265465,5.773943304407377e-06,0.25961161239701847,0.25009236602990353,0.25,0.004805806198509205,0.0,0.0,0.31865437426441745,0.0,0.2403883876029816
0.7,7.0,1.3773384156934092,0.07107408501499922,-0.24504950495049502,0.04950495049504949,-0.24504950495049502,0.25,0.028327832783278335,0.1424891984723914,12,0.25,0.25,0.0024752475247524913,0.0024752475247524844,0.25,0.0,100.99999999999963,1.5317125771983314e-06,0.25495049504950495,0.25002450620012745,0.25,0.0024752475247524844,0.0,0.0,0.2995049504950495,0.0,0.24504950495049502
0.7,9.0,1.3811204420311836,0.055388275720137464,-0.24699349613449503,0.03865504969934961,-0.24699349613449503,0.25,0.028111833762833882,0.14215865006302575,12,0.25,0.25,0.0015032519327524835,0.0015032519327524765,0.25,0.0,166.30612244898052,5.649415933310162e-07,0.25300650386550494,0.2500090389020898,0.25,0.0015032519327524765,0.0,0.0,0.28865504969934963,0.0,0.24699349613449503
0.7,11.0,1.3827502449461868,0.04536278798246263,-0.24798337311712906,0.031689851016544576,-0.24798337311712906,0.25,0.028001847431430107,0.14198877714699576,12,0.25,0.25,0.0010083134414354752,0.0010083134414354683,0.25,0.0,247.9387755102141,2.541739990448617e-07,0.25201662688287096,0.2500040667509078,0.25,0.0010083134414354683,0.0,0.0,0.2816898510165446,0.0,0.24798337311712906
